plant,district,date,year,month,pipe_bursts,elevated,elevated_next,predicted,split
RUNCHANG,PEKAN,2024-10-01,2024,10,2,1,0,0.2749923470507611,train
RUNCHANG,PEKAN,2024-11-01,2024,11,1,0,0,0.18063868692772045,train
RUNCHANG,PEKAN,2024-12-01,2024,12,1,0,0,0.18331439326855573,train
RUNCHANG,PEKAN,2025-01-01,2025,1,1,0,1,0.34734720684442316,train
RUNCHANG,PEKAN,2025-02-01,2025,2,2,1,0,0.2556133755838672,train
RUNCHANG,PEKAN,2025-03-01,2025,3,1,0,0,0.13445655959992123,train
RUNCHANG,PEKAN,2025-04-01,2025,4,1,0,0,0.22009968235550428,train
RUNCHANG,PEKAN,2025-05-01,2025,5,1,0,0,0.22690150738327847,train
RUNCHANG,PEKAN,2025-06-01,2025,6,1,0,0,0.20754888197396876,test
RUNCHANG,PEKAN,2025-07-01,2025,7,1,0,1,0.2191254963099707,test
RUNCHANG,PEKAN,2025-08-01,2025,8,2,1,0,0.26423762245837584,test
RUNCHANG,PEKAN,2025-09-01,2025,9,1,0,1,0.16641525282521127,test
RUNCHANG,PEKAN,2025-10-01,2025,10,2,1,1,0.36306870977478767,test
RUNCHANG,PEKAN,2025-11-01,2025,11,2,1,0,0.36072545951903073,test
RUNCHANG AGRO,PEKAN,2023-01-01,2023,1,2,1,1,0.8223444105779412,train
RUNCHANG AGRO,PEKAN,2023-02-01,2023,2,3,1,1,0.6864590257438614,train
RUNCHANG AGRO,PEKAN,2023-03-01,2023,3,3,1,1,0.806526763943114,train
RUNCHANG AGRO,PEKAN,2023-04-01,2023,4,2,1,1,0.7633626857157183,train
RUNCHANG AGRO,PEKAN,2023-05-01,2023,5,3,1,0,0.6644636363108833,train
RUNCHANG AGRO,PEKAN,2023-06-01,2023,6,1,0,1,0.7462529137020428,train
RUNCHANG AGRO,PEKAN,2023-07-01,2023,7,2,1,0,0.5906921922662552,train
RUNCHANG AGRO,PEKAN,2023-08-01,2023,8,1,0,1,0.7530406386029782,train
RUNCHANG AGRO,PEKAN,2023-09-01,2023,9,2,1,1,0.7862700922792986,train
RUNCHANG AGRO,PEKAN,2023-10-01,2023,10,2,1,0,0.5670846335529627,train
RUNCHANG AGRO,PEKAN,2023-11-01,2023,11,1,0,1,0.8204631611028526,train
RUNCHANG AGRO,PEKAN,2023-12-01,2023,12,3,1,0,0.5014230500010026,train
RUNCHANG AGRO,PEKAN,2024-01-01,2024,1,1,0,1,0.765260801053807,train
RUNCHANG AGRO,PEKAN,2024-02-01,2024,2,2,1,1,0.8186758829451507,train
RUNCHANG AGRO,PEKAN,2024-03-01,2024,3,2,1,0,0.5322317867131658,train
RUNCHANG AGRO,PEKAN,2024-04-01,2024,4,1,0,0,0.5927864092189523,train
RUNCHANG AGRO,PEKAN,2024-05-01,2024,5,1,0,0,0.5912528900189516,train
RUNCHANG AGRO,PEKAN,2024-06-01,2024,6,1,0,1,0.8031782879840726,train
RUNCHANG AGRO,PEKAN,2024-07-01,2024,7,2,1,1,0.779262945989148,train
RUNCHANG AGRO,PEKAN,2024-08-01,2024,8,2,1,0,0.6502194549791698,train
RUNCHANG AGRO,PEKAN,2024-09-01,2024,9,1,0,1,0.8035859187094418,train
RUNCHANG AGRO,PEKAN,2024-10-01,2024,10,3,1,1,0.8003363606774677,train
RUNCHANG AGRO,PEKAN,2024-11-01,2024,11,2,1,1,0.8148781464215538,train
RUNCHANG AGRO,PEKAN,2024-12-01,2024,12,3,1,1,0.5964283285566571,train
RUNCHANG AGRO,PEKAN,2025-01-01,2025,1,3,1,1,0.7836666559397868,train
RUNCHANG AGRO,PEKAN,2025-02-01,2025,2,3,1,1,0.7737839510763622,train
RUNCHANG AGRO,PEKAN,2025-03-01,2025,3,2,1,0,0.5553801942755984,train
RUNCHANG AGRO,PEKAN,2025-04-01,2025,4,1,0,1,0.743566244215569,train
RUNCHANG AGRO,PEKAN,2025-05-01,2025,5,2,1,1,0.8192401735521873,train
RUNCHANG AGRO,PEKAN,2025-06-01,2025,6,2,1,0,0.6136713433283346,test
RUNCHANG AGRO,PEKAN,2025-07-01,2025,7,1,0,1,0.6817718456414344,test
RUNCHANG AGRO,PEKAN,2025-08-01,2025,8,3,1,1,0.771410506318275,test
RUNCHANG AGRO,PEKAN,2025-09-01,2025,9,3,1,0,0.7811097461907706,test
RUNCHANG AGRO,PEKAN,2025-10-01,2025,10,1,0,1,0.6340319530007568,test
RUNCHANG AGRO,PEKAN,2025-11-01,2025,11,2,1,0,0.6994967444988884,test
SBRG TEMERLOH,TEMERLOH,2023-01-01,2023,1,2,1,0,0.4425748100981169,train
SBRG TEMERLOH,TEMERLOH,2023-02-01,2023,2,1,0,1,0.5721571257416403,train
SBRG TEMERLOH,TEMERLOH,2023-03-01,2023,3,2,1,1,0.5057431325770091,train
SBRG TEMERLOH,TEMERLOH,2023-04-01,2023,4,2,1,1,0.6780856239256337,train
SBRG TEMERLOH,TEMERLOH,2023-05-01,2023,5,2,1,0,0.5010716876369203,train
SBRG TEMERLOH,TEMERLOH,2023-06-01,2023,6,1,0,0,0.4601121824274509,train
SBRG TEMERLOH,TEMERLOH,2023-07-01,2023,7,1,0,1,0.6654488191066484,train
SBRG TEMERLOH,TEMERLOH,2023-08-01,2023,8,2,1,1,0.6392946826340878,train
SBRG TEMERLOH,TEMERLOH,2023-09-01,2023,9,2,1,1,0.7153825164438659,train
SBRG TEMERLOH,TEMERLOH,2023-10-01,2023,10,2,1,0,0.4062419662310658,train
SBRG TEMERLOH,TEMERLOH,2023-11-01,2023,11,1,0,0,0.39136038336209167,train
SBRG TEMERLOH,TEMERLOH,2023-12-01,2023,12,1,0,1,0.5201022415142532,train
SBRG TEMERLOH,TEMERLOH,2024-01-01,2024,1,2,1,0,0.4230031310357073,train
